,name
0,Alex Van de Sande (avsa.eth)
1,Amber ☘️
2,Andreas (BEWARE of giveaway scams!)
3,Ari Paul ⛓️
4,Brian Armstrong
5,Cameron Winklevoss
6,Charlie Lee [LTC⚡]
7,Chris Burniske
8,Documenting Bitcoin 📄
9,Elon Musk
10,Emin Gün Sirer
11,Eric/
12,Erik Voorhees
13,Evan Van Ness
14,Fred Ehrsam
15,Gavin Wood
16,Jeff Coleman | Jeff.eth
17,Jeremy Gardner
18,John Lilic ₿ Ξ ∞
19,John McAfee
20,John Wolpert
21,Joseph Lubin
22,Josh Olszewicz (I will not dm you)
23,Josh Stark
24,Justin Sun 🅣🌞
25,Lane Brrrrrettig
26,Laura Shin
27,Lex Moskovski
28,Martin Köppelmann
29,Meltem Demir◎rs
30,Mike McDonald
31,Nathaniel Whittemore
32,Naval
33,Nick Szabo
34,Pomp 🌪
35,Preethi Kasireddy
36,Ric Burton 🇬🇧 ‣ 🇺🇸 🦇🔊
37,Roger Ver
38,Ryan Selkis
39,Simon de la Rouviere 🌇
40,Spencer Noon
41,Taylor Monahan
42,The Wolf Of All Streets
43,Trent McConaghy
44,Tyler Winklevoss
45,Vinay Gupta
46,Vlad Zamfir
47,sam cassatt
48,vitalik.eth
49,yan
